,agent,h,win-context,av-turns,failed
0,0,15,0,8.24,0
1,0,14,0,8.304,0
2,0,13,0,8.544,0
3,0,12,0,9.548,0
4,0,11,0,10.524,0
5,0,10,0,19.468,0
6,0,9,0,32.232,0
7,0,8,0,39.336,0
8,0,7,0,122.42,0
9,0,6,0,127.152,0
10,0,5,0,165.416,0
11,0,4,0,201.252,0
12,0,3,0,253.104,0
13,0,2,0,370.468,0
14,0,15,1,7.868,0
15,0,14,1,8.428,0
16,0,13,1,8.668,0
17,0,12,1,9.084,0
18,0,11,1,9.932,0
19,0,10,1,20.164,0
20,0,9,1,46.256,0
21,0,8,1,67.228,0
22,0,7,1,107.66,0
23,0,6,1,116.564,0
24,0,5,1,145.852,0
25,0,4,1,206.908,0
26,0,3,1,267.744,0
27,0,2,1,346.584,0
28,1,15,0,7.808,0
29,1,14,0,8.38,0
30,1,13,0,8.396,0
31,1,12,0,8.884,0
32,1,11,0,8.184,0
33,1,10,0,9.18,0
34,1,9,0,8.912,0
35,1,8,0,8.832,0
36,1,7,0,15.184,0
37,1,6,0,17.288,0
38,1,5,0,65.252,0
39,1,4,0,93.572,0
40,1,3,0,183.304,0
41,1,2,0,350.404,0
42,1,15,1,8.184,0
43,1,14,1,8.504,0
44,1,13,1,8.712,0
45,1,12,1,8.476,0
46,1,11,1,8.632,0
47,1,10,1,9.24,0
48,1,9,1,9.284,0
49,1,8,1,8.216,0
50,1,7,1,13.488,0
51,1,6,1,16.46,0
52,1,5,1,63.988,0
53,1,4,1,107.048,0
54,1,3,1,208.208,0
55,1,2,1,356.48,0
56,2,15,0,8.756,0
57,2,14,0,8.368,0
58,2,13,0,8.508,0
59,2,12,0,9.22,0
60,2,11,0,9.428,0
61,2,10,0,10.18,0
62,2,9,0,10.168,0
63,2,8,0,10.612,0
64,2,7,0,14.996,0
65,2,6,0,41.404,0
66,2,5,0,92.548,0
67,2,4,0,144.136,0
68,2,3,0,204.592,0
69,2,2,0,378.496,0
70,2,15,1,7.756,0
71,2,14,1,8.356,0
72,2,13,1,8.408,0
73,2,12,1,8.644,0
74,2,11,1,9.844,0
75,2,10,1,9.552,0
76,2,9,1,9.7,0
77,2,8,1,10.324,0
78,2,7,1,16.668,0
79,2,6,1,37.668,0
80,2,5,1,105.06,0
81,2,4,1,150.38,0
82,2,3,1,199.292,0
83,2,2,1,350.584,0
